question,correct_answer,student_answer,label,processed_correct_answer,processed_student_answer
What is the sum of angles in a triangle?,The sum of angles in a triangle is 180 degrees.,A triangle's angles add up to 180 degrees.,1,sum angles triangle 180 degrees,triangle angles add 180 degrees
What is the sum of angles in a triangle?,The sum of angles in a triangle is 180 degrees.,A triangle's angles add up to 360 degrees.,0,sum angles triangle 180 degrees,triangle angles add 360 degrees
What is the capital of Australia?,The capital of Australia is Canberra.,Canberra is the capital of Australia.,1,capital australia canberra,canberra capital australia
What is the capital of Australia?,The capital of Australia is Canberra.,Sydney is the capital of Australia.,0,capital australia canberra,sydney capital australia
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,A metaphor compares things symbolically.,1,metaphor figure speech one thing said another,metaphor compares things symbolically
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,A metaphor uses 'like' or 'as'.,0,metaphor figure speech one thing said another,metaphor uses
What is a pronoun?,A pronoun replaces a noun.,A pronoun is a word like 'he' or 'she'.,1,pronoun replaces noun,pronoun word like
What is a pronoun?,A pronoun replaces a noun.,A pronoun is a describing word.,0,pronoun replaces noun,pronoun describing word
What is the chemical formula for water?,The chemical formula for water is H2O.,Water is made of H2O.,1,chemical formula water h2o,water made h2o
What is the chemical formula for water?,The chemical formula for water is H2O.,The formula for water is CO2.,0,chemical formula water h2o,formula water co2
What is the capital of Italy?,The capital of Italy is Rome.,Rome is the capital of Italy.,1,capital italy rome,rome capital italy
What is the capital of Italy?,The capital of Italy is Rome.,Venice is the capital of Italy.,0,capital italy rome,venice capital italy
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,Light travels at about 300000 km/s.,1,speed light approximately 300000 kilometers per second,light travels 300000
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,The speed of light is 150000 km/s.,0,speed light approximately 300000 kilometers per second,speed light 150000
What is an antonym for 'happy'?,An antonym for 'happy' is 'sad'.,'Sad' is the opposite of 'happy'.,1,antonym,opposite
What is an antonym for 'happy'?,An antonym for 'happy' is 'sad'.,'Joyful' is the opposite of 'happy'.,0,antonym,opposite
What is the largest ocean?,The largest ocean is the Pacific Ocean.,The Pacific Ocean is the largest ocean.,1,largest ocean pacific ocean,pacific ocean largest ocean
What is the largest ocean?,The largest ocean is the Pacific Ocean.,The Atlantic Ocean is the largest ocean.,0,largest ocean pacific ocean,atlantic ocean largest ocean
What does DNA stand for?,DNA stands for Deoxyribonucleic Acid.,DNA is Deoxyribonucleic Acid.,1,dna stands deoxyribonucleic acid,dna deoxyribonucleic acid
What does DNA stand for?,DNA stands for Deoxyribonucleic Acid.,DNA stands for Dynamic Nucleic Acid.,0,dna stands deoxyribonucleic acid,dna stands dynamic nucleic acid
What is a synonym for 'quick'?,A synonym for 'quick' is 'fast'.,A synonym for 'quick' is 'rapid'.,1,synonym,synonym
What is a synonym for 'quick'?,A synonym for 'quick' is 'fast'.,A synonym for 'quick' is 'slow'.,0,synonym,synonym
What is a preposition?,A preposition shows the relationship between a noun and another word.,A preposition indicates location or time.,1,preposition shows relationship noun another word,preposition indicates location time
What is a preposition?,A preposition shows the relationship between a noun and another word.,A preposition is a describing word.,0,preposition shows relationship noun another word,preposition describing word
Who discovered gravity?,Gravity was discovered by Isaac Newton.,Isaac Newton discovered gravity.,1,gravity discovered isaac newton,isaac newton discovered gravity
Who discovered gravity?,Gravity was discovered by Isaac Newton.,Albert Einstein discovered gravity.,0,gravity discovered isaac newton,albert einstein discovered gravity
What is the function of the heart?,The heart pumps blood throughout the body.,The heart pumps blood.,1,heart pumps blood throughout body,heart pumps blood
What is the function of the heart?,The heart pumps blood throughout the body.,The heart filters blood.,0,heart pumps blood throughout body,heart filters blood
What is the capital of Canada?,The capital of Canada is Ottawa.,Ottawa is Canada's capital.,1,capital canada ottawa,ottawa canada capital
What is the capital of Canada?,The capital of Canada is Ottawa.,Toronto is Canada's capital.,0,capital canada ottawa,toronto canada capital
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Water freezes at 0 degrees Celsius.,1,freezing point water 0 degrees celsius,water freezes 0 degrees celsius
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Water freezes at 100 degrees Celsius.,0,freezing point water 0 degrees celsius,water freezes 100 degrees celsius
What is the chemical symbol for Oxygen?,The chemical symbol for Oxygen is O.,Oxygen is represented by the symbol O.,1,chemical symbol oxygen,oxygen represented symbol
What is the chemical symbol for Oxygen?,The chemical symbol for Oxygen is O.,Oxygen is represented by the symbol N.,0,chemical symbol oxygen,oxygen represented symbol n
Who wrote 'Hamlet'?,'Hamlet' was written by William Shakespeare.,William Shakespeare wrote 'Hamlet'.,1,written william shakespeare,william shakespeare wrote
Who wrote 'Hamlet'?,'Hamlet' was written by William Shakespeare.,Charles Dickens wrote 'Hamlet'.,0,written william shakespeare,charles dickens wrote
What is the largest continent?,The largest continent is Asia.,Asia is the largest continent.,1,largest continent asia,asia largest continent
What is the largest continent?,The largest continent is Asia.,Africa is the largest continent.,0,largest continent asia,africa largest continent
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The theorem states a² + b² = c².,1,pythagorean theorem states a² b² c²,theorem states a² b² c²
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The theorem states a² + b² = ab.,0,pythagorean theorem states a² b² c²,theorem states a² b² ab
Who painted 'Starry Night'?,'Starry Night' was painted by Vincent van Gogh.,Vincent van Gogh painted 'Starry Night'.,1,night painted vincent van gogh,vincent van gogh painted night
Who painted 'Starry Night'?,'Starry Night' was painted by Vincent van Gogh.,Pablo Picasso painted 'Starry Night'.,0,night painted vincent van gogh,pablo picasso painted night
What is the capital of Japan?,The capital of Japan is Tokyo.,Tokyo is the capital of Japan.,1,capital japan tokyo,tokyo capital japan
What is the capital of Japan?,The capital of Japan is Tokyo.,Osaka is the capital of Japan.,0,capital japan tokyo,osaka capital japan
What is the main ingredient in bread?,The main ingredient in bread is flour.,Bread is made with flour.,1,main ingredient bread flour,bread made flour
What is the main ingredient in bread?,The main ingredient in bread is flour.,Bread is made with sugar.,0,main ingredient bread flour,bread made sugar
What is the smallest prime number?,The smallest prime number is 2.,The smallest prime number is 2.,1,smallest prime number 2,smallest prime number 2
What is the smallest prime number?,The smallest prime number is 2.,The smallest prime number is 1.,0,smallest prime number 2,smallest prime number 1
What is the tallest mountain in the world?,The tallest mountain in the world is Mount Everest.,Mount Everest is the tallest mountain.,1,tallest mountain world mount everest,mount everest tallest mountain
What is the tallest mountain in the world?,The tallest mountain in the world is Mount Everest.,K2 is the tallest mountain.,0,tallest mountain world mount everest,k2 tallest mountain
What is a triangle?,A triangle is a polygon with three sides.,A triangle is a three-sided polygon.,1,triangle polygon three sides,triangle polygon
What is a triangle?,A triangle is a polygon with three sides.,A triangle is a square.,0,triangle polygon three sides,triangle square
Who discovered electricity?,Electricity was discovered by Benjamin Franklin.,Benjamin Franklin discovered electricity.,1,electricity discovered benjamin franklin,benjamin franklin discovered electricity
Who discovered electricity?,Electricity was discovered by Benjamin Franklin.,Thomas Edison discovered electricity.,0,electricity discovered benjamin franklin,thomas edison discovered electricity
What is the chemical symbol for Sodium?,The chemical symbol for Sodium is Na.,The symbol for Sodium is Na.,1,chemical symbol sodium na,symbol sodium na
What is the chemical symbol for Sodium?,The chemical symbol for Sodium is Na.,The symbol for Sodium is So.,0,chemical symbol sodium na,symbol sodium
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The lungs are used for breathing.,1,lungs help breathing exchanging oxygen carbon dioxide,lungs used breathing
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The lungs are used to pump blood.,0,lungs help breathing exchanging oxygen carbon dioxide,lungs used pump blood
What is the process of water changing to vapor called?,The process of water changing to vapor is called evaporation.,Evaporation is when water turns into vapor.,1,process water changing vapor called evaporation,evaporation water turns vapor
What is the process of water changing to vapor called?,The process of water changing to vapor is called evaporation.,Condensation is when water turns into vapor.,0,process water changing vapor called evaporation,condensation water turns vapor
What is the result of 5 x 6?,The result of 5 x 6 is 30.,5 multiplied by 6 equals 30.,1,result 5 x 6 30,5 multiplied 6 equals 30
What is the result of 5 x 6?,The result of 5 x 6 is 30.,5 multiplied by 6 equals 25.,0,result 5 x 6 30,5 multiplied 6 equals 25
Who invented the telephone?,The telephone was invented by Alexander Graham Bell.,Alexander Graham Bell invented the telephone.,1,telephone invented alexander graham bell,alexander graham bell invented telephone
Who invented the telephone?,The telephone was invented by Alexander Graham Bell.,Thomas Edison invented the telephone.,0,telephone invented alexander graham bell,thomas edison invented telephone
What is the name of our galaxy?,Our galaxy is called the Milky Way.,The Milky Way is our galaxy.,1,galaxy called milky way,milky way galaxy
What is the name of our galaxy?,Our galaxy is called the Milky Way.,The Andromeda galaxy is our galaxy.,0,galaxy called milky way,andromeda galaxy galaxy
What is the freezing point of water in Fahrenheit?,The freezing point of water is 32 degrees Fahrenheit.,Water freezes at 32°F.,1,freezing point water 32 degrees fahrenheit,water freezes
What is the freezing point of water in Fahrenheit?,The freezing point of water is 32 degrees Fahrenheit.,Water freezes at 0°F.,0,freezing point water 32 degrees fahrenheit,water freezes
What is the name of the first president of the United States?,The first president of the United States is George Washington.,George Washington was the first president.,1,first president united states george washington,george washington first president
What is the name of the first president of the United States?,The first president of the United States is George Washington.,Abraham Lincoln was the first president.,0,first president united states george washington,abraham lincoln first president
What is the hardest natural substance on Earth?,The hardest natural substance on Earth is diamond.,Diamonds are the hardest natural material.,1,hardest natural substance earth diamond,diamonds hardest natural material
What is the hardest natural substance on Earth?,The hardest natural substance on Earth is diamond.,Gold is the hardest natural material.,0,hardest natural substance earth diamond,gold hardest natural material
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,HCl is Hydrochloric Acid.,1,hcl stands hydrochloric acid,hcl hydrochloric acid
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,HCl stands for Hydrogen Carbonate.,0,hcl stands hydrochloric acid,hcl stands hydrogen carbonate
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.,The Sahara is the largest desert.,1,largest desert world sahara desert,sahara largest desert
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.,The Gobi is the largest desert.,0,largest desert world sahara desert,gobi largest desert
What is the formula for the area of a rectangle?,The formula for the area of a rectangle is length x width.,Area of a rectangle is length times width.,1,formula area rectangle length x width,area rectangle length times width
What is the formula for the area of a rectangle?,The formula for the area of a rectangle is length x width.,Area of a rectangle is length plus width.,0,formula area rectangle length x width,area rectangle length plus width
What is the third planet from the Sun?,The third planet from the Sun is Earth.,Earth is the third planet from the Sun.,1,third planet sun earth,earth third planet sun
What is the third planet from the Sun?,The third planet from the Sun is Earth.,Mars is the third planet from the Sun.,0,third planet sun earth,mars third planet sun
What is the capital of India?,The capital of India is New Delhi.,New Delhi is India's capital.,1,capital india new delhi,new delhi india capital
What is the capital of India?,The capital of India is New Delhi.,Mumbai is India's capital.,0,capital india new delhi,mumbai india capital
What is the function of the kidneys?,The kidneys filter waste from the blood.,Kidneys filter blood and remove waste.,1,kidneys filter waste blood,kidneys filter blood remove waste
What is the function of the kidneys?,The kidneys filter waste from the blood.,Kidneys help pump blood throughout the body.,0,kidneys filter waste blood,kidneys help pump blood throughout body
What is the boiling point of water in Fahrenheit?,The boiling point of water is 212 degrees Fahrenheit.,Water boils at 212°F.,1,boiling point water 212 degrees fahrenheit,water boils
What is the boiling point of water in Fahrenheit?,The boiling point of water is 212 degrees Fahrenheit.,Water boils at 100°F.,0,boiling point water 212 degrees fahrenheit,water boils
What is the smallest bone in the human body?,The smallest bone in the human body is the stapes.,The stapes is the smallest bone.,1,smallest bone human body stapes,stapes smallest bone
What is the smallest bone in the human body?,The smallest bone in the human body is the stapes.,The femur is the smallest bone.,0,smallest bone human body stapes,femur smallest bone
What is the capital of Russia?,The capital of Russia is Moscow.,Moscow is Russia's capital.,1,capital russia moscow,moscow russia capital
What is the capital of Russia?,The capital of Russia is Moscow.,St. Petersburg is Russia's capital.,0,capital russia moscow,petersburg russia capital
What is a polygon?,A polygon is a closed figure with straight sides.,A polygon is a shape with straight edges.,1,polygon closed figure straight sides,polygon shape straight edges
What is a polygon?,A polygon is a closed figure with straight sides.,A polygon is a figure with curved edges.,0,polygon closed figure straight sides,polygon figure curved edges
What is a habitat?,A habitat is the natural home of an organism.,A habitat is where an organism lives.,1,habitat natural home organism,habitat organism lives
What is a habitat?,A habitat is the natural home of an organism.,A habitat is where plants are grown artificially.,0,habitat natural home organism,habitat plants grown artificially
What is a noun?,A noun is a word that names a person place thing or idea.,A noun names a person or thing.,1,noun word names person place thing idea,noun names person thing
What is a noun?,A noun is a word that names a person place thing or idea.,A noun refers to an object or idea.,1,noun word names person place thing idea,noun refers object idea
What is a noun?,A noun is a word that names a person place thing or idea.,A noun describes an action.,0,noun word names person place thing idea,noun describes action
What is a verb?,A verb is a word that describes an action state or occurrence.,A verb shows an activity.,1,verb word describes action state occurrence,verb shows activity
What is a verb?,A verb is a word that describes an action state or occurrence.,A verb indicates motion or action.,1,verb word describes action state occurrence,verb indicates motion action
What is a verb?,A verb is a word that describes an action state or occurrence.,A noun names an object.,0,verb word describes action state occurrence,noun names object
What is photosynthesis?,Photosynthesis is the process by which plants make food using sunlight.,Photosynthesis helps plants produce food.,1,photosynthesis process plants make food using sunlight,photosynthesis helps plants produce food
What is photosynthesis?,Photosynthesis is the process by which plants make food using sunlight.,Plants create food through photosynthesis.,1,photosynthesis process plants make food using sunlight,plants create food photosynthesis
What is photosynthesis?,Photosynthesis is the process by which plants make food using sunlight.,Photosynthesis is how animals eat.,0,photosynthesis process plants make food using sunlight,photosynthesis animals eat
What is the capital of France?,The capital of France is Paris.,Paris is the capital of France.,1,capital france paris,paris capital france
What is the capital of France?,The capital of France is Paris.,France's capital is Paris.,1,capital france paris,france capital paris
What is the capital of France?,The capital of France is Paris.,Berlin is the capital of France.,0,capital france paris,berlin capital france
What is the square root of 64?,The square root of 64 is 8.,Eight is the square root of 64.,1,square root 64 8,eight square root 64
What is the square root of 64?,The square root of 64 is 8.,The square root of sixty-four is 8.,1,square root 64 8,square root 8
What is the square root of 64?,The square root of 64 is 8.,The square root of sixty-four is 9.,0,square root 64 8,square root 9
What is an adjective?,An adjective is a word that describes a noun.,An adjective modifies a noun.,1,adjective word describes noun,adjective modifies noun
What is an adjective?,An adjective is a word that describes a noun.,Adjectives describe qualities of a noun.,1,adjective word describes noun,adjectives describe qualities noun
What is an adjective?,An adjective is a word that describes a noun.,An adjective is a verb.,0,adjective word describes noun,adjective verb
What is the boiling point of water?,The boiling point of water is 100 degrees Celsius.,Water boils at 100 degrees Celsius.,1,boiling point water 100 degrees celsius,water boils 100 degrees celsius
What is the boiling point of water?,The boiling point of water is 100 degrees Celsius.,At 100°C water reaches its boiling point.,1,boiling point water 100 degrees celsius,water reaches boiling point
What is the boiling point of water?,The boiling point of water is 100 degrees Celsius.,Water boils at 200 degrees Celsius.,0,boiling point water 100 degrees celsius,water boils 200 degrees celsius
What is the largest planet in the Solar System?,The largest planet in the Solar System is Jupiter.,Jupiter is the largest planet in the Solar System.,1,largest planet solar system jupiter,jupiter largest planet solar system
What is the largest planet in the Solar System?,The largest planet in the Solar System is Jupiter.,The planet Jupiter is the largest.,1,largest planet solar system jupiter,planet jupiter largest
What is the largest planet in the Solar System?,The largest planet in the Solar System is Jupiter.,Mars is the largest planet.,0,largest planet solar system jupiter,mars largest planet
Who discovered gravity?,Gravity was discovered by Isaac Newton.,Isaac Newton is known for discovering gravity.,1,gravity discovered isaac newton,isaac newton known discovering gravity
Who discovered gravity?,Gravity was discovered by Isaac Newton.,The discovery of gravity is attributed to Isaac Newton.,1,gravity discovered isaac newton,discovery gravity attributed isaac newton
Who discovered gravity?,Gravity was discovered by Isaac Newton.,Albert Einstein discovered gravity.,0,gravity discovered isaac newton,albert einstein discovered gravity
What is the chemical formula for water?,The chemical formula for water is H2O.,Water's chemical formula is H2O.,1,chemical formula water h2o,water chemical formula h2o
What is the chemical formula for water?,The chemical formula for water is H2O.,H2O is the formula for water.,1,chemical formula water h2o,h2o formula water
What is the chemical formula for water?,The chemical formula for water is H2O.,Water is made of CO2.,0,chemical formula water h2o,water made co2
What is the capital of India?,The capital of India is New Delhi.,New Delhi is India's capital.,1,capital india new delhi,new delhi india capital
What is the capital of India?,The capital of India is New Delhi.,India's capital city is New Delhi.,1,capital india new delhi,india capital city new delhi
What is the capital of India?,The capital of India is New Delhi.,Mumbai is the capital of India.,0,capital india new delhi,mumbai capital india
What does DNA stand for?,DNA stands for Deoxyribonucleic Acid.,Deoxyribonucleic Acid is the full form of DNA.,1,dna stands deoxyribonucleic acid,deoxyribonucleic acid full form dna
What does DNA stand for?,DNA stands for Deoxyribonucleic Acid.,DNA is short for Deoxyribonucleic Acid.,1,dna stands deoxyribonucleic acid,dna short deoxyribonucleic acid
What does DNA stand for?,DNA stands for Deoxyribonucleic Acid.,DNA is Dynamic Nucleic Acid.,0,dna stands deoxyribonucleic acid,dna dynamic nucleic acid
What is the function of the heart?,The heart pumps blood throughout the body.,The heart's primary role is pumping blood.,1,heart pumps blood throughout body,heart primary role pumping blood
What is the function of the heart?,The heart pumps blood throughout the body.,The heart circulates blood in the body.,1,heart pumps blood throughout body,heart circulates blood body
What is the function of the heart?,The heart pumps blood throughout the body.,The heart filters blood.,0,heart pumps blood throughout body,heart filters blood
What is the capital of Australia?,The capital of Australia is Canberra.,Canberra is Australia's capital.,1,capital australia canberra,canberra australia capital
What is the capital of Australia?,The capital of Australia is Canberra.,Australia's capital is Canberra.,1,capital australia canberra,australia capital canberra
What is the capital of Australia?,The capital of Australia is Canberra.,Sydney is the capital of Australia.,0,capital australia canberra,sydney capital australia
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,A metaphor compares two things indirectly.,1,metaphor figure speech one thing said another,metaphor compares two things indirectly
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,Metaphors describe symbolic relationships.,1,metaphor figure speech one thing said another,metaphors describe symbolic relationships
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,A metaphor uses 'like' or 'as'.,0,metaphor figure speech one thing said another,metaphor uses
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The lungs exchange oxygen and carbon dioxide.,1,lungs help breathing exchanging oxygen carbon dioxide,lungs exchange oxygen carbon dioxide
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The primary function of lungs is to facilitate gas exchange.,1,lungs help breathing exchanging oxygen carbon dioxide,primary function lungs facilitate gas exchange
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The lungs pump blood through the body.,0,lungs help breathing exchanging oxygen carbon dioxide,lungs pump blood body
What is the process of water changing to vapor called?,The process of water changing to vapor is called evaporation.,Water changes to vapor during evaporation.,1,process water changing vapor called evaporation,water changes vapor evaporation
What is the process of water changing to vapor called?,The process of water changing to vapor is called evaporation.,Evaporation occurs when water turns to vapor.,1,process water changing vapor called evaporation,evaporation occurs water turns vapor
What is the process of water changing to vapor called?,The process of water changing to vapor is called evaporation.,Condensation occurs when water turns to vapor.,0,process water changing vapor called evaporation,condensation occurs water turns vapor
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Water freezes at 0 degrees Celsius.,1,freezing point water 0 degrees celsius,water freezes 0 degrees celsius
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,At 0°C water reaches its freezing point.,1,freezing point water 0 degrees celsius,water reaches freezing point
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Water freezes at 100 degrees Celsius.,0,freezing point water 0 degrees celsius,water freezes 100 degrees celsius
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,Light travels at 300000 km/s.,1,speed light approximately 300000 kilometers per second,light travels 300000
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,The speed of light is roughly 300000 kilometers per second.,1,speed light approximately 300000 kilometers per second,speed light roughly 300000 kilometers per second
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,The speed of light is 150000 kilometers per second.,0,speed light approximately 300000 kilometers per second,speed light 150000 kilometers per second
What is the smallest prime number?,The smallest prime number is 2.,Two is the smallest prime number.,1,smallest prime number 2,two smallest prime number
What is the smallest prime number?,The smallest prime number is 2.,2 is the smallest prime.,1,smallest prime number 2,2 smallest prime
What is the smallest prime number?,The smallest prime number is 2.,One is the smallest prime number.,0,smallest prime number 2,one smallest prime number
What is the name of our galaxy?,Our galaxy is called the Milky Way.,The Milky Way is the name of our galaxy.,1,galaxy called milky way,milky way name galaxy
What is the name of our galaxy?,Our galaxy is called the Milky Way.,The galaxy we live in is the Milky Way.,1,galaxy called milky way,galaxy live milky way
What is the name of our galaxy?,Our galaxy is called the Milky Way.,The Andromeda galaxy is where we live.,0,galaxy called milky way,andromeda galaxy live
What is the capital of Canada?,The capital of Canada is Ottawa.,Ottawa is the capital city of Canada.,1,capital canada ottawa,ottawa capital city canada
What is the capital of Canada?,The capital of Canada is Ottawa.,Canada's capital city is Ottawa.,1,capital canada ottawa,canada capital city ottawa
What is the capital of Canada?,The capital of Canada is Ottawa.,Toronto is the capital of Canada.,0,capital canada ottawa,toronto capital canada
Who invented the telephone?,The telephone was invented by Alexander Graham Bell.,Alexander Graham Bell is the inventor of the telephone.,1,telephone invented alexander graham bell,alexander graham bell inventor telephone
Who invented the telephone?,The telephone was invented by Alexander Graham Bell.,The inventor of the telephone is Alexander Graham Bell.,1,telephone invented alexander graham bell,inventor telephone alexander graham bell
Who invented the telephone?,The telephone was invented by Alexander Graham Bell.,Thomas Edison invented the telephone.,0,telephone invented alexander graham bell,thomas edison invented telephone
What is the largest continent?,The largest continent is Asia.,Asia is the largest continent on Earth.,1,largest continent asia,asia largest continent earth
What is the largest continent?,The largest continent is Asia.,The largest continent is Asia.,1,largest continent asia,largest continent asia
What is the largest continent?,The largest continent is Asia.,Africa is the largest continent.,0,largest continent asia,africa largest continent
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,HCl is short for Hydrochloric Acid.,1,hcl stands hydrochloric acid,hcl short hydrochloric acid
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,Hydrochloric Acid is the full form of HCl.,1,hcl stands hydrochloric acid,hydrochloric acid full form hcl
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,HCl is Hydrogen Chloride.,0,hcl stands hydrochloric acid,hcl hydrogen chloride
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The theorem states that a² + b² equals c².,1,pythagorean theorem states a² b² c²,theorem states a² b² equals c²
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,Pythagoras proved that a² + b² = c².,1,pythagorean theorem states a² b² c²,pythagoras proved a² b² c²
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The theorem states a² * b² = c².,0,pythagorean theorem states a² b² c²,theorem states a² b² c²
What is the capital of Japan?,The capital of Japan is Tokyo.,Tokyo is Japan's capital.,1,capital japan tokyo,tokyo japan capital
What is the capital of Japan?,The capital of Japan is Tokyo.,The capital city of Japan is Tokyo.,1,capital japan tokyo,capital city japan tokyo
What is the capital of Japan?,The capital of Japan is Tokyo.,Kyoto is the capital of Japan.,0,capital japan tokyo,kyoto capital japan
What is the main ingredient in bread?,The main ingredient in bread is flour.,Bread is primarily made with flour.,1,main ingredient bread flour,bread primarily made flour
What is the main ingredient in bread?,The main ingredient in bread is flour.,Flour is the key ingredient for bread.,1,main ingredient bread flour,flour key ingredient bread
What is the main ingredient in bread?,The main ingredient in bread is flour.,Bread is mainly made of sugar.,0,main ingredient bread flour,bread mainly made sugar
What is a polygon?,A polygon is a closed figure with straight sides.,A polygon has straight sides and is a closed shape.,1,polygon closed figure straight sides,polygon straight sides closed shape
