student_id,quiz_scores,time_spent,reading_volume,peer_comparison,past_performance_trend,performance_label
1053,46,138,486,1.36,0.39,Below
1054,60,105,648,1.23,0.85,Below
1055,48,177,411,1.43,1.2,Below
1056,78,94,275,0.85,0.33,At
1057,57,138,600,1.4,1.06,Below
1058,43,158,233,0.83,0.51,Below
1059,64,39,697,1.23,0.65,Below
1060,99,76,715,1.24,0.64,At
1061,53,152,527,0.52,1.11,Below
1062,89,88,297,0.86,0.75,At
1063,97,125,565,0.52,0.7,Below
1064,48,132,662,1.5,1.04,Below
1065,65,153,227,0.62,0.34,Below
1066,92,115,585,1.04,0.38,At
1067,41,175,472,1.29,0.32,Below
1068,59,141,326,0.7,0.92,Below
1069,67,189,401,0.99,0.77,At
1070,86,56,720,1.11,1.09,At
1071,99,47,486,0.66,0.75,Below
1072,46,196,649,1.28,0.5,Below
1073,83,111,287,0.8,1.02,At
1074,47,101,517,0.71,0.56,Below
1075,86,83,218,1.06,1.14,At
1076,74,191,792,0.91,0.53,At
1077,53,100,306,1.42,0.45,Below
1078,56,193,657,1.38,0.74,Below
1079,75,175,510,0.98,0.35,At
1080,89,67,611,0.86,0.33,At
1081,79,166,697,0.83,0.75,At
1082,43,64,443,0.77,0.49,Below
1083,41,111,776,1.04,0.31,Below
1084,45,162,579,1.3,0.57,Below
1085,93,171,714,0.81,0.73,At
1086,81,187,406,0.69,0.65,Below
1087,43,33,593,0.98,0.42,Below
1088,93,196,220,0.57,0.82,Below
1089,68,182,726,1.2,0.94,At
1090,57,185,542,1.02,0.91,Below
1091,65,179,401,1.0,0.65,At
1092,83,188,319,0.8,0.42,At
1093,73,52,588,1.4,0.75,At
1094,49,77,736,0.59,1.1,Below
1095,75,177,433,1.37,0.72,At
1096,53,154,519,0.88,0.48,Below
1097,70,195,379,1.38,0.38,At
1098,87,84,567,1.23,1.15,At
1099,54,97,275,0.6,0.97,Below
1100,47,117,695,1.33,0.58,Below
1101,53,30,721,1.18,0.57,Below
1102,62,164,400,0.53,1.11,Below
1103,99,124,545,0.63,0.46,Below
1104,96,169,682,1.14,0.78,At
1105,79,135,418,1.16,0.94,At
1106,60,162,259,1.25,0.66,Below
1107,55,137,749,1.22,0.34,Below
1108,84,71,420,1.16,0.5,At
1109,57,131,701,1.27,1.11,Below
1110,86,153,332,1.08,0.77,At
1111,92,169,252,0.76,1.03,At
1112,63,132,649,1.41,0.8,Below
1113,65,175,261,0.52,1.15,Below
1114,64,103,222,0.87,1.12,Below
1115,99,137,243,1.23,0.73,At
1116,99,151,757,0.93,0.59,At
1117,99,46,246,0.52,0.84,Below
1118,84,100,223,0.57,0.91,Below
1119,80,91,288,1.15,0.75,At
1120,68,70,373,1.46,1.04,At
1121,54,148,775,1.05,0.46,Below
1122,84,191,318,1.01,0.6,At
1123,40,74,377,0.82,0.92,Below
1124,64,87,541,0.76,0.52,Below
1125,46,155,767,0.52,0.7,Below
1126,48,191,258,0.77,1.17,Below
1127,63,73,637,0.95,0.86,Below
1128,40,44,627,0.7,1.15,Below
1129,83,107,625,0.59,0.95,Below
1130,47,99,580,1.22,0.95,Below
1131,63,130,685,1.39,0.83,Below
1132,50,189,384,1.44,0.43,Below
1133,90,32,758,1.12,0.77,Below
1134,56,115,659,0.55,0.53,Below
1135,47,103,301,1.24,1.2,Below
1136,74,80,755,0.61,0.54,Below
1137,74,96,214,1.17,0.51,At
1138,72,105,250,1.28,0.86,At
1139,98,122,508,1.23,0.76,At
1140,44,174,233,1.45,0.32,Below
1141,81,36,788,1.24,0.42,Below
1142,78,42,404,1.19,1.03,Below
1143,97,149,269,0.76,0.74,At
1144,80,95,429,1.42,0.43,At
1145,67,33,679,0.68,0.72,Below
1146,46,167,732,1.4,0.53,Below
1147,48,117,307,0.81,0.5,Below
1148,47,46,440,0.63,1.16,Below
1149,51,81,450,1.33,0.63,Below
1150,73,163,334,0.5,0.34,Below
1151,72,98,289,1.33,1.17,At
1152,87,166,790,0.76,1.02,At
1153,94,50,639,1.38,0.53,At
1154,62,53,497,1.19,0.67,Below
1155,63,33,606,1.17,1.08,Below
1156,76,181,507,0.87,0.62,At
1157,74,32,301,0.56,0.81,Below
1158,83,97,560,1.33,0.78,At
1159,79,130,727,0.67,0.66,Below
1160,61,197,492,0.87,0.88,Below
1161,66,83,345,1.1,0.73,At
1162,74,64,603,0.98,0.32,At
1163,40,85,201,0.7,1.03,Below
1164,74,137,318,0.64,0.4,Below
1165,76,69,390,0.62,0.72,Below
1166,86,97,202,1.36,0.82,At
1167,53,75,686,0.53,0.93,Below
1168,42,107,376,1.48,0.67,Below
1169,40,170,456,0.7,0.96,Below
1170,44,184,733,0.61,0.42,Below
1171,65,35,676,1.08,0.89,Below
1172,94,46,597,0.58,1.04,Below
1173,53,193,695,1.1,1.1,Below
1174,78,128,419,1.35,0.82,At
1175,66,110,372,0.55,0.58,Below
1176,48,31,589,1.3,0.45,Below
1177,54,106,701,0.89,0.61,Below
1178,54,95,776,0.66,0.79,Below
1179,65,81,459,0.68,0.48,Below
1180,81,121,330,1.42,1.16,At
1181,99,51,312,0.61,1.11,Below
1182,52,140,219,1.37,0.33,Below
1183,90,136,414,1.04,0.81,At
1184,71,96,509,0.54,1.01,Below
1185,78,169,450,0.96,0.52,At
1186,88,98,687,1.32,0.77,At
1187,91,113,581,1.23,0.67,At
1188,71,132,608,0.99,0.48,At
1189,43,68,470,1.36,0.85,Below
1190,69,42,606,0.62,1.19,Below
1191,76,70,393,1.41,0.63,At
1192,62,86,640,1.35,0.8,Below
1193,78,41,512,1.21,0.6,Below
1194,84,42,278,1.32,1.09,Below
1195,54,149,379,1.04,1.08,Below
1196,82,126,213,1.18,0.46,At
1197,68,86,445,1.06,1.11,At
1198,75,69,213,0.86,0.44,At
1199,52,147,298,1.07,0.39,Below
1200,71,109,232,0.76,0.89,At
1201,46,157,635,0.94,0.65,Below
1202,98,64,456,0.78,0.78,At
1203,90,32,233,0.62,0.89,Below
1204,61,149,218,0.82,0.35,Below
1205,67,34,459,1.35,0.56,Below
1206,41,40,788,0.88,0.71,Below
1207,81,155,615,1.25,0.54,At
1208,84,100,336,0.68,0.34,Below
1209,96,146,558,0.92,0.38,At
1210,92,167,778,0.61,1.02,Below
1211,45,135,315,0.64,1.12,Below
1212,67,145,603,1.12,0.44,At
1213,67,191,401,1.11,0.52,At
1214,83,96,575,0.71,0.89,At
1215,83,60,449,0.97,1.16,At
1216,59,104,645,1.36,0.57,Below
1217,69,100,477,0.67,1.07,Below
1218,50,95,311,0.52,0.76,Below
1219,97,99,672,1.15,1.16,At
1220,94,70,591,0.55,0.42,Below
1221,67,189,342,1.48,1.18,At
1222,64,49,231,1.11,0.7,Below
1223,78,182,380,0.97,1.16,At
1224,72,169,778,0.93,0.71,At
1225,40,68,715,1.07,0.78,Below
1226,96,174,468,0.59,1.02,Below
1227,66,74,435,1.43,0.95,At
1228,96,168,476,1.13,0.86,At
1229,91,99,752,0.68,0.68,Below
1230,52,154,474,1.06,1.01,Below
1231,80,180,285,0.63,1.15,Below
1232,42,120,262,0.52,0.31,Below
1233,78,99,603,1.13,0.83,At
1234,45,195,391,1.15,1.08,Below
1235,47,159,492,1.08,0.89,Below
1236,66,113,230,0.68,1.02,Below
1237,48,118,529,1.1,1.11,Below
1238,76,108,306,0.56,0.98,Below
1239,72,142,475,1.11,0.95,At
1240,90,122,797,1.05,1.17,Above
1241,81,101,755,1.16,1.08,At
1242,83,194,281,1.4,1.03,At
1243,63,78,263,1.35,0.38,Below
1244,54,81,766,1.48,0.52,Below
1245,98,62,785,1.48,0.8,At
1246,93,51,328,1.27,0.94,At
1247,71,143,455,1.46,0.57,At
1248,71,162,430,1.37,0.38,At
1249,63,47,696,1.23,0.58,Below
1250,80,195,336,0.58,0.99,Below
1251,91,147,654,0.55,1.09,Below
1252,88,146,554,1.34,1.12,Above
1253,88,66,684,0.99,0.64,At
1254,97,93,345,1.31,0.64,At
1255,91,167,232,0.81,0.67,At
1256,51,108,459,0.9,0.64,Below
1257,78,199,286,1.2,0.9,At
1258,41,152,464,1.42,0.62,Below
1259,42,73,741,0.59,0.32,Below
1260,88,111,591,1.36,0.7,At
1261,76,116,431,1.29,0.5,At
1262,88,45,787,0.82,0.33,Below
1263,95,83,646,0.86,0.72,At
1264,56,131,328,0.55,0.49,Below
1265,98,192,470,0.52,0.71,Below
1266,88,127,288,0.98,0.55,At
1267,41,185,665,0.6,0.84,Below
1268,41,31,369,0.69,1.19,Below
1269,67,123,327,1.35,0.79,At
1270,93,170,373,1.07,0.88,At
1271,62,198,225,1.13,1.13,Below
1272,76,88,772,0.69,0.64,Below
1273,71,98,710,1.33,0.45,At
1274,72,148,687,1.37,0.55,At
1275,40,121,778,1.02,0.66,Below
1276,58,74,605,1.41,0.88,Below
1277,41,177,225,1.34,0.3,Below
1278,92,53,282,1.23,1.07,At
1279,83,120,563,1.23,0.37,At
1280,65,123,566,0.61,1.11,Below
1281,71,87,259,0.77,1.15,At
1282,45,184,750,0.57,1.19,Below
1283,71,183,491,0.51,1.03,Below
1284,94,157,390,0.66,0.43,Below
1285,43,36,660,1.38,0.94,Below
1286,94,199,432,0.74,0.48,At
1287,50,76,673,1.47,1.11,Below
1288,95,82,604,1.1,0.58,At
1289,98,67,470,0.74,0.59,At
1290,56,82,333,1.0,1.13,Below
1291,77,172,370,0.72,0.31,At
1292,63,183,614,1.48,0.47,Below
1293,44,77,227,1.35,0.68,Below
1294,91,124,335,0.53,0.93,Below
1295,73,176,604,1.45,0.88,At
1296,45,166,704,1.22,0.9,Below
1297,61,93,440,0.58,1.09,Below
1298,50,122,643,1.17,0.41,Below
1299,87,154,633,1.15,0.77,At
1300,55,68,427,0.72,0.95,Below
1301,72,33,708,1.26,0.87,Below
1302,48,155,502,0.59,0.7,Below
1303,99,32,233,0.99,0.32,Below
1304,98,93,201,0.51,0.35,Below
1305,45,58,561,1.47,0.41,Below
1306,55,145,394,1.25,0.61,Below
1307,68,40,507,0.66,0.41,Below
1308,42,126,449,0.84,0.68,Below
1309,59,131,346,0.66,0.46,Below
1310,99,184,545,1.27,1.0,Above
1311,98,50,547,0.56,1.08,Below
1312,75,68,453,1.34,0.65,At
1313,58,131,598,1.44,0.76,Below
1314,65,75,533,1.18,1.16,At
1315,42,95,375,0.71,0.78,Below
1316,58,120,324,0.86,1.2,Below
1317,59,193,597,0.98,0.43,Below
1318,71,140,330,1.1,1.08,At
1319,46,111,761,1.17,0.75,Below
1320,91,152,606,1.05,0.32,At
1321,80,128,533,0.85,1.18,At
1322,72,64,219,1.39,1.17,At
1323,79,188,404,0.58,0.64,Below
1324,78,185,554,0.97,1.16,At
1325,57,132,372,1.28,0.43,Below
1326,79,158,388,0.56,0.91,Below
1327,40,54,201,1.21,0.47,Below
1328,50,72,367,1.32,0.52,Below
1329,67,113,567,1.16,1.0,At
1330,96,80,735,0.51,0.64,Below
1331,64,159,779,0.68,0.31,Below
1332,89,155,569,0.84,0.67,At
1333,62,98,795,0.73,0.51,Below
1334,70,38,636,1.46,0.91,Below
1335,69,31,406,1.15,0.48,Below
1336,81,191,248,0.8,1.06,At
1337,74,188,743,1.43,0.54,At
1338,46,39,328,1.24,0.65,Below
1339,99,143,646,0.78,0.57,At
1340,55,105,234,0.88,0.88,Below
1341,65,193,398,0.7,0.39,At
1342,87,114,276,1.47,0.73,At
1343,96,78,568,1.02,0.6,At
1344,91,99,725,1.4,1.1,At
1345,99,160,548,0.85,0.37,At
1346,88,162,705,1.36,1.05,Above
1347,41,119,437,0.55,0.45,Below
1348,40,55,479,1.48,0.38,Below
1349,87,101,776,1.41,0.48,At
1350,51,34,631,0.86,0.39,Below
1351,44,44,337,1.27,0.77,Below
1352,76,152,468,1.25,1.19,At
1353,71,173,400,1.4,0.33,At
1354,98,30,341,0.81,0.72,Below
1355,94,173,554,0.97,0.65,At
1356,48,194,777,1.36,0.61,Below
1357,80,32,528,1.28,0.6,Below
1358,74,76,758,0.89,1.11,At
1359,58,124,430,1.35,0.32,Below
1360,87,42,507,0.55,1.0,Below
1361,55,149,345,1.28,0.53,Below
1362,42,84,351,0.71,0.64,Below
1363,59,178,339,0.79,0.68,Below
1364,63,95,220,0.99,0.57,Below
1365,93,184,453,0.95,0.38,At
1366,95,195,263,1.02,0.4,At
1367,72,119,417,1.04,0.57,At
1368,63,91,271,0.83,1.04,Below
1369,91,131,361,0.68,0.42,Below
1370,50,168,329,1.27,0.97,Below
1371,88,37,780,0.9,0.56,Below
1372,47,126,424,1.01,1.1,Below
1373,75,146,779,1.14,0.69,At
1374,77,93,653,1.41,0.45,At
1375,79,50,583,1.21,1.19,At
1376,59,144,306,0.55,0.46,Below
1377,74,114,302,1.34,0.81,At
1378,87,49,340,1.49,0.81,Below
1379,64,37,776,0.97,0.64,Below
1380,74,87,333,1.47,1.16,At
1381,64,75,398,1.05,1.06,Below
1382,68,60,709,0.96,1.05,At
1383,57,122,278,0.83,1.18,Below
1384,85,38,681,1.16,0.71,Below
1385,57,44,711,0.73,0.39,Below
1386,41,123,449,0.6,0.99,Below
1387,93,183,798,0.53,0.64,Below
1388,74,167,799,0.79,0.47,At
1389,55,58,682,0.9,0.73,Below
1390,80,109,371,1.05,1.13,At
1391,75,65,216,0.79,0.45,At
1392,72,113,493,1.48,1.06,At
1393,43,138,593,0.79,0.68,Below
1394,72,147,697,0.94,0.42,At
1395,53,66,418,0.6,1.06,Below
1396,60,115,433,0.76,1.17,Below
1397,87,100,589,0.55,0.56,Below
1398,59,180,447,1.06,0.57,Below
1399,95,198,251,1.25,0.65,At
1400,47,122,214,0.7,1.03,Below
1401,46,109,523,0.87,0.31,Below
1402,42,131,640,0.52,0.5,Below
1403,56,185,311,1.34,0.94,Below
1404,72,195,206,1.28,0.67,At
1405,87,188,762,0.56,0.6,Below
1406,51,43,444,0.86,1.09,Below
1407,98,146,647,1.46,1.13,Above
1408,90,102,564,0.89,1.15,At
1409,61,120,566,1.03,0.55,Below
1410,94,119,486,0.86,1.12,At
1411,61,58,305,1.1,0.96,Below
1412,85,78,212,1.48,0.44,At
1413,69,101,345,1.5,0.85,At
1414,77,162,677,1.27,0.32,At
1415,77,71,314,0.9,0.94,At
1416,84,164,708,0.99,0.96,At
1417,90,71,351,0.86,1.01,At
1418,93,193,256,1.49,0.46,At
1419,47,134,581,1.21,0.87,Below
1420,66,56,356,0.95,0.46,At
1421,66,87,332,0.51,1.15,Below
1422,73,75,362,1.02,0.91,At
1423,60,95,474,1.48,0.39,Below
1424,69,54,276,1.02,0.47,At
1425,72,102,243,0.68,0.9,Below
1426,67,146,749,0.52,0.73,Below
1427,86,184,517,0.85,0.96,At
1428,72,158,733,1.42,0.55,At
1429,44,116,784,1.5,0.89,Below
1430,99,103,353,1.45,0.46,At
1431,87,199,436,1.23,0.79,At
1432,58,182,716,1.06,1.16,Below
1433,43,154,420,1.09,0.87,Below
1434,74,96,509,1.04,0.34,At
1435,88,35,797,1.21,1.19,Below
1436,56,154,376,0.92,0.44,Below
1437,83,87,419,1.17,0.95,At
1438,67,99,237,0.62,0.78,Below
1439,69,82,630,0.77,0.56,At
1440,68,95,402,1.34,0.46,At
1441,85,87,647,1.4,0.46,At
1442,92,111,694,1.04,1.07,Above
1443,45,116,324,0.53,1.09,Below
1444,74,31,264,1.43,0.72,Below
1445,99,179,443,1.2,0.39,At
1446,80,66,726,0.91,1.1,At
1447,76,177,425,1.1,0.74,At
1448,63,132,664,0.93,0.69,Below
1449,68,53,492,0.97,0.67,At
1450,88,141,580,1.39,0.63,At
1451,85,94,365,0.66,0.77,Below
1452,92,158,417,0.6,0.84,Below
1453,70,146,474,0.5,0.72,Below
1454,74,145,251,0.81,1.11,At
1455,99,134,573,0.65,0.59,Below
1456,72,32,562,0.72,0.82,Below
1457,91,75,766,0.51,0.57,Below
1458,60,84,213,0.73,0.98,Below
1459,71,104,539,0.83,0.39,At
1460,62,74,738,0.53,0.47,Below
1461,72,183,288,1.11,1.02,At
1462,42,106,240,1.07,0.46,Below
1463,57,53,503,0.6,0.86,Below
1464,64,64,467,1.1,1.17,Below
1465,81,53,337,1.5,0.77,At
1466,70,57,205,1.44,0.47,At
1467,93,45,441,0.5,0.59,Below
1468,97,88,361,1.3,1.04,At
1469,42,173,717,0.85,0.62,Below
1470,79,44,600,0.56,0.95,Below
1471,85,40,355,0.8,1.0,Below
1472,63,108,284,0.82,0.75,Below
1473,89,144,209,1.02,1.0,Above
1474,71,97,337,1.16,0.59,At
1475,86,72,355,1.25,0.76,At
1476,61,98,607,0.75,0.92,Below
1477,62,170,424,0.82,0.45,Below
1478,41,167,779,0.81,0.55,Below
1479,66,104,383,0.86,0.89,At
1480,81,132,394,1.5,0.89,At
1481,41,70,753,1.28,0.74,Below
1482,65,88,595,1.47,1.02,At
1483,56,68,795,1.19,0.73,Below
1484,79,32,333,0.91,1.09,Below
1485,72,36,508,0.89,0.96,Below
1486,48,78,741,0.99,0.58,Below
1487,82,55,208,0.92,0.66,At
1488,93,190,369,1.33,0.9,Above
1489,87,130,489,0.97,1.11,At
1490,78,108,367,0.8,0.46,At
1491,68,31,543,1.27,0.76,Below
1492,81,156,696,1.35,0.41,At
1493,94,189,344,0.92,0.55,At
1494,65,161,612,1.17,0.92,At
1495,74,49,787,0.56,0.37,Below
1496,89,146,656,1.03,0.9,Above
1497,64,193,501,0.54,1.11,Below
1498,63,61,245,0.53,1.17,Below
1499,52,57,216,1.11,0.49,Below
1500,99,106,777,0.8,0.97,At
1501,97,30,559,1.24,1.13,Below
1502,46,85,460,1.4,0.38,Below
1503,96,64,322,0.64,0.67,Below
1504,75,141,430,1.22,1.13,At
1505,84,59,311,1.01,0.48,At
1506,59,83,792,0.61,1.14,Below
1507,40,65,445,1.15,0.77,Below
1508,47,109,590,1.11,0.39,Below
1509,85,87,591,1.02,0.7,At
1510,55,112,527,1.43,0.59,Below
1511,53,94,414,1.02,0.55,Below
1512,51,98,566,1.49,0.79,Below
1513,90,157,281,1.01,0.74,At
1514,62,80,275,0.62,0.73,Below
1515,54,51,726,0.97,0.38,Below
1516,67,136,702,0.68,1.02,Below
1517,73,138,678,1.1,0.73,At
1518,41,145,571,1.19,1.04,Below
1519,71,130,464,0.97,1.04,At
1520,62,129,463,0.6,0.59,Below
1521,61,193,309,0.97,0.3,Below
1522,90,97,506,0.58,1.12,Below
1523,64,65,399,1.18,0.98,Below
1524,97,198,425,1.29,0.4,At
1525,61,175,384,1.46,0.93,Below
1526,97,51,230,0.65,0.32,Below
1527,97,95,298,1.03,0.32,At
1528,61,50,538,1.07,0.77,Below
1529,88,129,465,1.42,0.39,At
1530,91,157,549,1.13,1.17,Above
1531,81,73,743,0.65,1.1,Below
1532,45,132,656,0.94,0.88,Below
1533,54,76,287,1.15,0.36,Below
1534,93,68,262,1.2,0.59,At
1535,82,58,586,1.36,0.63,At
1536,99,83,658,0.68,0.73,Below
1537,76,119,785,1.45,0.45,At
1538,72,114,468,0.56,0.82,Below
1539,47,46,545,1.48,0.69,Below
1540,92,109,277,1.36,1.15,Above
1541,99,188,564,1.16,1.14,Above
1542,83,102,213,1.23,0.81,At
1543,83,78,335,0.57,0.88,Below
1544,44,130,503,0.54,0.42,Below
1545,78,31,596,0.6,0.5,Below
1546,43,171,278,0.59,1.11,Below
1547,45,88,617,1.05,0.93,Below
1548,84,126,441,0.72,0.47,At
1549,71,128,250,1.36,0.81,At
1550,91,132,583,0.95,1.14,At
1551,69,31,574,1.2,0.61,Below
1552,86,70,405,1.15,0.47,At
1553,74,152,688,0.82,1.15,At
1554,94,111,580,0.74,0.72,At
1555,79,173,510,0.84,0.68,At
1556,91,161,574,1.3,0.54,At
1557,55,169,791,1.09,1.1,Below
1558,52,58,241,0.75,1.06,Below
1559,89,164,732,1.32,0.66,At
1560,99,43,721,0.55,0.33,Below
1561,81,41,352,1.2,0.7,Below
1562,69,128,511,0.94,0.46,At
1563,58,162,493,1.23,0.43,Below
1564,56,110,797,1.43,0.65,Below
1565,95,135,312,1.25,0.39,At
1566,58,61,311,0.94,1.16,Below
1567,67,103,374,0.65,0.34,Below
1568,97,110,501,1.31,0.66,At
1569,94,98,715,0.96,0.45,At
1570,65,74,420,0.58,0.92,Below
1571,76,135,370,1.22,0.37,At
1572,65,166,517,0.79,0.79,At
1573,92,190,412,0.55,1.0,Below
1574,62,129,452,1.4,1.16,Below
1575,48,175,323,0.98,0.93,Below
1576,51,38,412,0.78,0.39,Below
1577,92,91,284,1.22,0.38,At
1578,40,58,715,1.39,0.96,Below
1579,97,154,264,0.5,0.49,Below
1580,97,143,517,1.19,0.7,At
1581,40,182,545,1.27,1.18,Below
1582,86,172,442,0.71,1.04,At
1583,73,163,336,0.99,1.06,At
1584,71,149,446,0.59,1.07,Below
1585,93,199,640,1.25,0.86,At
1586,87,186,244,1.35,0.97,Above
1587,64,108,753,0.61,0.62,Below
1588,79,122,288,1.32,1.2,At
1589,84,33,427,1.27,0.55,Below
1590,92,111,490,0.85,0.83,At
1591,40,104,621,1.19,0.55,Below
1592,55,43,266,0.5,0.4,Below
1593,78,160,450,1.43,0.81,At
1594,44,143,240,1.05,0.62,Below
1595,61,91,298,1.12,0.82,Below
1596,68,135,505,1.16,0.8,At
1597,94,93,655,1.06,0.79,At
1598,42,131,790,1.36,0.41,Below
1599,51,135,500,1.11,0.7,Below
1600,65,49,398,1.41,1.03,Below
1601,55,87,687,1.08,0.58,Below
1602,90,141,305,0.67,0.7,Below
1603,76,86,600,1.41,0.74,At
1604,61,148,676,1.18,1.08,Below
1605,96,126,321,1.2,0.89,At
1606,68,121,276,1.49,0.39,At
1607,53,81,511,0.58,1.08,Below
1608,67,66,311,0.93,1.05,At
1609,44,37,717,0.74,0.98,Below
1610,86,73,396,1.13,0.72,At
1611,88,127,297,1.31,0.98,Above
1612,69,162,658,1.47,0.73,At
1613,85,147,429,0.95,0.96,At
1614,91,98,367,1.29,1.09,At
1615,44,188,207,1.42,1.1,Below
1616,51,74,371,1.18,0.71,Below
1617,55,166,559,0.74,1.07,Below
1618,65,61,394,1.11,0.39,At
1619,65,62,468,1.47,0.39,At
1620,87,155,218,1.49,0.79,At
1621,60,96,553,1.14,0.89,Below
1622,78,59,248,1.39,0.44,At
1623,75,143,663,0.7,0.72,At
1624,72,58,555,0.75,0.38,At
1625,69,160,357,1.45,0.84,At
1626,76,59,265,0.64,1.07,Below
1627,62,166,770,0.69,0.96,Below
1628,97,183,507,0.92,0.64,At
1629,49,159,536,1.09,1.19,Below
1630,93,91,320,1.1,0.9,At
1631,44,32,603,0.79,1.03,Below
1632,75,97,767,1.42,0.9,At
1633,73,54,295,1.42,1.19,At
1634,91,170,313,0.89,1.04,At
1635,70,73,628,0.93,0.77,At
1636,49,192,739,1.2,0.63,Below
1637,97,84,201,1.16,0.91,At
1638,58,166,411,0.88,0.83,Below
1639,97,159,779,0.91,0.87,At
1640,71,70,532,0.85,0.61,At
1641,40,93,223,0.74,0.69,Below
1642,95,60,567,0.96,0.8,At
1643,44,76,705,1.19,1.06,Below
1644,84,159,375,1.24,0.99,At
1645,43,125,628,1.28,0.41,Below
1646,55,106,641,0.87,0.52,Below
1647,63,139,747,1.26,0.32,Below
1648,55,98,713,0.51,0.31,Below
1649,94,87,560,0.98,0.5,At
1650,41,135,473,1.29,1.02,Below
1651,88,73,376,1.13,1.11,At
1652,67,103,463,0.97,0.65,At
1653,71,85,385,1.14,0.81,At
1654,66,156,726,1.41,0.94,At
1655,59,191,478,1.07,1.16,Below
1656,63,59,397,1.3,1.12,Below
1657,51,100,548,1.48,0.35,Below
1658,89,147,620,1.21,0.52,At
1659,74,84,504,1.07,0.34,At
1660,99,96,263,0.54,0.85,Below
1661,72,170,489,0.87,0.94,At
1662,72,32,217,1.07,0.58,Below
1663,90,55,263,1.3,1.07,At
1664,82,86,529,0.94,0.71,At
1665,76,155,216,1.46,1.2,At
1666,51,181,642,0.77,0.3,Below
1667,42,82,340,1.24,0.4,Below
1668,40,72,507,0.92,0.57,Below
1669,72,78,643,0.99,0.32,At
1670,79,71,695,1.3,1.0,At
1671,49,40,625,0.8,0.35,Below
1672,82,132,674,0.6,0.97,Below
1673,83,127,444,1.02,0.35,At
1674,68,175,649,1.03,0.53,At
1675,52,114,550,1.3,1.06,Below
1676,51,129,798,1.47,1.16,Below
1677,70,133,360,0.56,0.67,Below
1678,85,75,339,1.09,1.17,At
1679,41,73,692,1.18,0.86,Below
1680,90,51,787,1.49,0.67,At
1681,89,143,730,1.44,1.02,Above
1682,74,154,592,1.21,0.57,At
1683,62,153,600,1.02,0.54,Below
1684,56,59,249,0.66,0.89,Below
1685,65,37,494,0.88,0.65,Below
1686,47,127,624,1.09,0.42,Below
1687,68,86,211,1.23,0.36,At
1688,65,140,534,1.14,1.01,At
1689,49,102,214,1.21,0.91,Below
1690,65,144,227,0.93,0.67,At
1691,73,49,587,1.23,1.11,Below
1692,90,54,491,0.64,0.67,Below
1693,80,48,449,0.66,0.94,Below
1694,46,34,704,0.66,1.12,Below
1695,43,104,297,1.39,1.06,Below
1696,97,157,536,0.58,0.76,Below
1697,92,101,238,1.3,0.91,Above
1698,89,184,237,0.73,0.67,At
1699,84,69,499,0.97,0.88,At
1700,50,55,378,1.42,0.53,Below
1701,68,56,668,1.09,0.69,At
1702,95,112,481,0.71,0.49,At
1703,75,157,363,0.78,0.33,At
1704,64,199,652,1.42,0.83,Below
1705,60,186,296,0.93,1.08,Below
1706,96,196,508,1.09,0.32,At
1707,75,198,461,0.96,0.48,At
1708,49,62,492,0.88,0.71,Below
1709,76,126,448,0.72,0.9,At
1710,48,140,444,1.19,0.45,Below
